"id","body"
"60822","<p>The $z$-value is just the test-statistic for a statistical test, so if you have trouble interpreting it your first step is to find out what the null hypothesis is. The null hypothesis for the test for CLASS0 is that its coefficient is 0. The coefficient for CLASS0 is the difference in log(odds) between CLASS0 and the reference class (CLASS3?) is zero, or equivalently, that the ratio of the odds for CLASS0 and the reference class is 1. In other words that there is no difference in the odds of success between CLASS0 and the reference class.</p>

<p>So does a non-significant coefficient mean you can merge categories? No. First, non-significant means that we cannot reject the hypothesis that there is no difference, but that does not mean that no such differences exist. An absence of evidence is not the same thing as evidence of absence. Second, merging categories, especially the reference category, changes the interpretation of all other coefficients. Whether or not that makes sense depends on what those different classes stand for. </p>

<p>Does that mean that the entire categorical variable is a ""bad"" (non-significant) predictor? No, for that you would need to perform a simultaneous test for all CLASS terms. </p>
"
"22227","<p>Prior $P(buys)$ is constant for each person. Some people buy more, others buy less, but for any particular person, if you don't know anything about the product he's looking at, the probability of buying is some constant.</p>

<p>This means that, to find the posterior $P(buys|X)$, you don't actually have to know $P(buys)$. </p>

<p>$P(buys|X)$ = $P(X|buys) P(buys) / P(X) = k P(X|buys)$, where $k$ is a constant. To maximize $P(buys|X)$, you thus just maximize $P(X|buys)$.</p>

<p>The much bigger problem is that for any particular individual, you will have too little data to go on. A solution is to somehow group people who you think are similar. You could use their demographics (age, sex, location), but people on your site from the same demographic might be shopping for different things. In addition to demographics, you could also use the product category that they've bought in the past. So, for example, group all 25-35 year old women on the West Coast who've bought a computer-related product in the past into a single ""person"".</p>
"
"111387","<p>The short answer is that you're trying to model a regression with more slope parameters then you have observations.</p>

<p>For more meaningful results, try limiting the number of interaction terms you try to model. I mean, do you really want to have terms for <em>every conceivable nonempty subset of your predictors</em>? (For instance, do you really think that the <code>gearsc:length:depth:in_water:condition4</code> coefficient is the key to your analysis?). </p>

<p>The result is that you'll have to do considerably more typing (since you'll be specifying the individual interaction terms instead of merely multiplying all the coefficients together in the formula). However, the upside is that you'll end up with stronger results.</p>

<p>Does this help?</p>

<h3>Edit:</h3>

<p>Now, if you really <em>do</em> want to model all those interaction terms, there are certain approaches you <em>could</em> take. For instance, you can check out this set of <a href=""https://www.cs.cmu.edu/~ggordon/10725-F12/scribes/10725_Lecture2.pdf"" rel=""nofollow"">lecture notes</a> for strategies for dealing with <strong>sparse matrices</strong>. However, I think the easiest thing here would be to manually add a handful of interaction terms since it's usually best to keep things as simple as they need to be (but no simpler).</p>
"
"102898","<p>Is this what you have in mind?</p>

<pre><code>sysuse auto
lowess price mpg, gen(yhat)
tw (line yhat mpg if price &lt;12000, sort) (scatter yhat mpg if price &lt;12000)
</code></pre>

<p>In practice, this seems like a curious thing to do. </p>
"
"4235","<p>Yes.  I like the article Soren shared very much, and together with the references in that article I would recommend Muckenheim, W. <em>et al.</em> (1986). <a href=""http://www.sciencedirect.com/science?_ob=ArticleURL&amp;_udi=B6TVP-46SX0JS-88&amp;_user=10&amp;_coverDate=02%2F28%2F1986&amp;_rdoc=1&amp;_fmt=high&amp;_orig=search&amp;_origin=search&amp;_sort=d&amp;_docanchor=&amp;view=c&amp;_searchStrId=1530555242&amp;_rerunOrigin=google&amp;_acct=C000050221&amp;_version=1&amp;_urlVersion=0&amp;_userid=10&amp;md5=1fc99b45c91f0d7e00c238a3649d7532&amp;searchtype=a"" rel=""nofollow"">A Review of Extended Probabilities</a>. Phys. Rep. 133 (6) 337-401.  It's a physics paper for sure, but the applications there are not all related to quantum physics.</p>

<p>My personal favorite application relates to <a href=""http://en.wikipedia.org/wiki/De_Finetti%27s_theorem"" rel=""nofollow"">de Finetti's Theorem</a> (also Bayesian in flavor):  if we don't mind negative probabilities then it turns out that <strong>all</strong> exchangeable sequences (even finite, perhaps negatively correlated ones) are a (signed) mixture of IID sequences.  Of course, this itself has applications in quantum mechanics, in particular, that Fermi-Dirac statistics yield the same type of (signed) mixture representation that Bose-Einstein statistics do. </p>

<p>My second personal favorite application (outside of physics proper) relates to <a href=""http://en.wikipedia.org/wiki/Infinite_divisibility_%28probability%29"" rel=""nofollow"">infinite divisible</a> (ID) distributions, which classically includes normal, gamma, poisson, ... the list continues.  It isn't too hard to show that ID distributions must have unbounded support, which immediately kills distributions like the binomial or uniform (discrete+continuous) distributions.  But if we permit negative probabilities then these problems disappear and the binomial, uniform (discrete+continuous), and a whole bunch of other distributions then become infinitely divisible - in this <em>extended</em> sense, please bear in mind.  ID distributions relate to statistics in that they are limiting distributions in generalized central limit theorems.</p>

<p>By the way, the first application is whispered folklore among probabilists and the infinite divisibility stuff is proved <a href=""http://maurice.bgsu.edu/record=b2719985~S0"" rel=""nofollow"">here</a>, an informal electronic copy being <a href=""http://people.ysu.edu/~gkerns/pdf/Jdiss.pdf"" rel=""nofollow"">here</a>.</p>

<p>Presumably there is a bunch of material on <a href=""http://www.arxiv.org/"" rel=""nofollow"">arXiv</a>, too, though I haven't checked there in quite some time.</p>

<p>As a final remark, whuber is absolutely right that it isn't really legal to call anything a probability that doesn't lie in $[0,1]$, at the very least, not for the time being. Given that ""negative probabilities"" have been around for so long I don't see this changing in the near future, not without some kind of colossal breakthrough.</p>
"
"25434","<p>You may want to consider other strategies based on propensity scores, like including them as model covariates, or very similar concepts, like Inverse-Probability-of-Treatment weights. These might work in situations where you can't, or don't want, to deal with matching.</p>

<p><a href=""http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1407370/"" rel=""nofollow"">This</a> seems like a decent overview.</p>
"
"92683","<p>Bookwise: 
The uber-classic is <a href=""http://cm.bell-labs.com/cm/ms/departments/sia/NLME/MEMSS/index.html"" rel=""nofollow"">Mixed-Effects Models in S and S-PLUS</a> by Bates and Pinheiro; it shows its years at time but it is still an excellent read. I have also read <a href=""http://www.crcpress.com/product/isbn/9781439815120"" rel=""nofollow"">Generalized Linear Mixed Models: Modern Concepts, Methods and Applications</a> by Stroup; it is quite new and based on software I have never used (SAS) but it very well-written and clear. I like it a lot. I believe those two resources will cover most questions. I have also found <a href=""http://www.crcpress.com/product/isbn/9781584884804"" rel=""nofollow"">Linear Mixed Models: A Practical Guide Using Statistical Software</a> by West,  Welch and Galecki to be a good read but I would not pick it over the previous two. Finally <a href=""http://www.highstat.com/book2.htm"" rel=""nofollow"">Mixed Effects Models and Extensions in Ecology with R</a> by Zuur, Ieno, Walker, Saveliev and Smith seems to be popular but I have not used personally.</p>

<p>The Centre for Multilevel Modelling (CMM) in the University of Bristol has a fuller web-catalogue of good books that can be found <a href=""http://www.bristol.ac.uk/cmm/learning/support/books.html"" rel=""nofollow"">here</a>.</p>

<p>Paper-wise:
This list can be endless and probably you can find works specific to your field of application. Having said that the paper: <a href=""http://facecouncil.org/puf/wp-content/uploads/2009/10/Bolker-et-al-2009-TREE.pdf"" rel=""nofollow"">Generalized linear mixed models: a practical guide for ecology and evolution</a> by Bolker, Brooks, Clark, Geange, Poulsen, Stevens and White is pretty darn good (I like <a href=""http://www.cell.com/trends/ecology-evolution/home"" rel=""nofollow"">TREE</a> papers).</p>

<p>And a side-comment:
Given <a href=""http://hosho.ees.hokudai.ac.jp/~kubo/Rdoc/library/lme4/html/lmer.html"" rel=""nofollow"">lmer</a>/<a href=""http://stat.ethz.ch/R-manual/R-patched/library/nlme/html/lme.html"" rel=""nofollow"">lme</a>/<a href=""http://www.mathworks.co.uk/help/stats/fitlme.html"" rel=""nofollow"">fitlme</a>/<a href=""http://www.vsni.co.uk/software/genstat/htmlhelp/reml/LinearMixedModelsREML.htm"" rel=""nofollow"">genstat</a> are coherent pieces of software, what you want is to understand how <a href=""http://www.jstor.org/discover/10.2307/2346786"" rel=""nofollow"">Wilkinson notation</a> works. There is not ""magic"" surrounding how you define interactions and nesting, just some rules that are (generally) not software-specific.</p>
"
"41337","<p>Multinomial logistic is the right method, I think. But it seems like you might need a multilevel model because you have multiple items for each person and those choices won't be independent. </p>

<p>This is equivalent to running many dichotomous logistic regressions, one on each type of item. </p>
"
"4633","<p>As @onestop writes, the GM and GSD are natural parameters for a lognormal distribution.  However, they can be estimated from the arithmetic mean ($\\mu$) and (usual) SD ($\\sigma$) just by solving the <a href=""http://en.wikipedia.org/wiki/Log-normal_distribution"" rel=""nofollow"">formulas</a></p>

<p>$$\\mu = \\exp(\\nu+ \\tau^2/2) \\text{ and}$$
</p>

<p>$$\\sigma^2 = \\left( \\exp(\\tau^2)-1\\right) \\exp(2 \\nu+ \\tau^2) = \\left( \\exp(\\tau^2)-1\\right)  \\mu^2$$
</p>

<p>for $\\nu$ (the logarithm of the GM) and $\\tau$ (the logarithm of the GSD).  Evidently</p>

<p>$$\\tau^2 = \\log{\\frac{\\sigma^2 + \\mu^2}{\\mu^2}} \\text{ and}$$
</p>

<p>$$\\nu = \\frac{1}{2} \\log{\\frac{\\mu^4}{\\sigma^2 + \\mu^2}}.$$
</p>

<p>The distribution of the <em>logarithms</em> of the particle sizes is Normal with mean $\\nu$ and variance $\\tau^2$, reducing your problem to the elementary one of computing (or looking up) values of the cumulative normal distribution.</p>
"
"77809","<p>You can change the loss function that is used for fitting the model parameters and evaluating the forecasts. For binary models, there is a large class of loss functions called ""proper scoring rules"", including e.g. negative likelihood and squared error. These loss functions are sensible from a stat theory perspective since they set the incentive to identify the true model asymptotically. The class contains asymmetric members which you could use in your application. For a good review, see </p>

<p><a href=""http://stat.wharton.upenn.edu/~buja/PAPERS/paper-proper-scoring.pdf"" rel=""nofollow"">http://stat.wharton.upenn.edu/~buja/PAPERS/paper-proper-scoring.pdf</a></p>
"
