,id,App,Translated_Review
28514,28514,Coloring & Learn,Nice kids
13501,13501,Beauty Camera - Selfie Camera,Its doesnt let finish editing
41871,41871,Extreme Racing 2 - Real driving RC cars game!,"Little kids game , good. Nothing ""extreme"" game!"
42339,42339,FOX NOW - On Demand & Live TV,This buggiest I ever used. Crashed times I count. Also slow unresponsive compared streaming apps.
60351,60351,Haystack TV: Local & World News - Free,A forward thinking App.....One BEST
9723,9723,Avakin Life - 3D virtual world,Fun easy use. Lots friends. But avakin need money animation set I trouble tapjoy . guys lower price animation set?
169,169,10 Best Foods for You,Best food Thank you recipe book
40875,40875,Etta Homes,Phone number password!? I known I went ahead put phone number. . Realtor called within hour 6 pm dinner. . Not sure software disappointed said would phone do.
43565,43565,Family Dollar,"I really love Family Dollar Stores, Here Howard City MI 49329, seem always I'm looking for, A Z. If I'm trouble finding ""exactly"" I need I go Family Dollar Store really I ALWAYS find I need. The reception welcoming, workers helpful, kind social. They # 1 "
58675,58675,HD Widgets,design good update time weather update place automatically. Stuck place. Have toggle gps manually first update weather current location. Need update fix issue
17415,17415,Brain Waves - Binaural Beats,It static
17132,17132,Bowmasters,"This game amazing creative. Just suggestion, watch ad open chest"
40747,40747,Essential Resources,Why still full screen Google chrome? GMD immersive solid force full screen still. No full screen important makes phone pointless have.
8188,8188,"Any.do: To-do list, Calendar, Reminders & Planner",Why holy hell I need login? I want log in. reason know email Facebook account. I want app. 0 Stars. EDIT>>> replied syncing. I want sync.I want device. Make registration syncing option. I can't even try see I like requires register first. 2nd EDIT>>> Don'
26404,26404,Christian Dating For Free App,I'm whatisthat profile name overall site clean me.I recommend anyone that's single.
33619,33619,Delta Dental,Haven't issues yet
19145,19145,C++ Tutorials,Very nice Easy understand
48423,48423,Four In A Line,Hehfj I hate
979,979,4 in a Row,Ive played level 10 three times them. Then I programmed AI C I let go second level 10 fifteen times all. I could make suggestion improving evaluation function like. It uses concept zugzwang accurate.
57996,57996,Gyft - Mobile Gift Card Wallet,trys charging 40.00 25.00 gift card paying bitcoin. But buy card debit card 25.00. This poor business. If anything get discount bitcoin literally went 1700% 2 months
